aX,aY,aZ,gX,gY,gZ
0.560,-0.489,-0.486,-27.710,58.228,302.734
0.508,-0.371,-0.519,-12.268,48.340,305.969
0.446,-0.214,-0.596,-17.883,38.696,307.800
0.435,-0.162,-0.632,-39.185,15.320,314.636
0.392,-0.027,-0.663,-55.176,1.709,320.801
0.369,0.052,-0.657,-71.045,-13.550,326.355
0.351,0.139,-0.630,-81.543,-38.940,326.965
0.312,0.317,-0.532,-70.801,-43.030,320.618
0.295,0.370,-0.499,-46.753,-37.781,300.049
0.293,0.396,-0.488,-45.532,-35.522,289.795
0.296,0.411,-0.489,-73.547,-35.889,280.151
0.263,0.464,-0.442,-94.238,-36.804,279.907
0.237,0.490,-0.415,-105.286,-37.720,278.748
0.210,0.515,-0.388,-106.934,-39.551,272.156
0.117,0.569,-0.335,-105.835,-39.795,268.738
0.061,0.587,-0.318,-97.778,-33.813,256.836
-0.031,0.602,-0.293,-85.693,-24.475,247.681
-0.067,0.619,-0.307,-57.129,-3.174,228.455
-0.115,0.626,-0.378,-61.401,2.380,219.360
-0.138,0.598,-0.396,-75.623,5.005,211.548
-0.160,0.568,-0.393,-88.318,11.353,201.904
-0.214,0.540,-0.373,-79.407,16.479,198.242
-0.246,0.541,-0.379,-61.035,26.733,189.087
-0.326,0.556,-0.397,-57.434,31.006,183.960
-0.340,0.569,-0.397,-52.856,33.203,177.551
-0.343,0.587,-0.382,-38.513,33.264,166.687
-0.391,0.634,-0.370,-38.818,35.583,163.452
-0.415,0.650,-0.369,-47.241,45.715,152.466
-0.497,0.682,-0.371,-42.603,54.077,146.729
-0.557,0.707,-0.379,-30.396,72.693,134.033
-0.677,0.736,-0.445,-35.278,78.918,127.991
-0.747,0.751,-0.495,-47.791,81.787,123.657
-0.821,0.778,-0.540,-78.247,78.979,118.958
-0.940,0.878,-0.594,-84.717,75.439,116.455
-1.012,0.945,-0.616,-73.181,71.167,101.868
-1.211,1.091,-0.621,-73.303,73.181,89.233
-1.307,1.170,-0.619,-82.458,80.811,74.158
-1.403,1.232,-0.625,-113.281,116.333,30.518
-1.655,1.237,-0.669,-128.601,143.372,0.427
-1.836,1.193,-0.729,-134.644,213.745,-66.833
-2.166,1.037,-1.041,-125.977,254.944,-101.868
-2.244,0.937,-1.307,-130.798,317.139,-160.645
-2.369,0.749,-1.959,-135.559,326.477,-178.650
-2.447,0.706,-2.226,-126.587,321.472,-191.223
-2.554,0.716,-2.382,-73.120,280.151,-216.736
-2.830,0.736,-2.456,-52.917,250.610,-237.732
-2.988,0.714,-2.498,-35.706,186.951,-302.429
-3.365,0.734,-2.795,-17.761,155.640,-349.976
-3.578,0.729,-3.034,34.607,73.608,-479.614
-3.982,0.310,-3.524,69.580,6.592,-556.824
-4.000,-0.165,-3.641,129.028,-80.505,-633.850
-4.000,-0.622,-3.620,372.375,-275.085,-796.143
-3.994,-1.326,-2.920,540.649,-361.450,-915.649
-3.995,-1.856,-2.637,711.670,-491.760,-1251.160
-4.000,-3.910,-2.701,640.259,-555.603,-1398.132
-4.000,-4.000,-2.566,383.850,-669.067,-1399.231
-4.000,-4.000,-0.506,236.633,-748.413,-1218.384
-4.000,-3.967,0.861,113.403,-822.693,-990.539
-2.693,-3.994,3.058,73.975,-766.968,-676.025
-0.647,-4.000,3.347,216.370,-603.271,-584.595
0.999,-4.000,3.001,272.034,-290.100,-337.524
0.411,-3.772,1.891,49.500,-220.459,-166.016
-0.679,-3.186,1.505,-83.740,-119.507,134.094
-1.830,-1.323,1.062,16.052,-78.674,227.844
-1.980,-0.386,1.015,110.474,-61.523,278.320
-1.999,0.322,1.084,127.991,-75.195,234.253
-1.719,0.820,1.269,75.500,-92.468,158.203
-1.417,0.686,1.316,-33.020,-126.709,-4.822
-0.789,-0.004,1.239,-64.392,-128.174,-61.035
-0.555,-0.374,1.105,-97.351,-93.201,-94.238
-0.345,-0.765,0.860,-88.196,-75.867,-72.876
-0.353,-0.813,0.748,-74.646,-64.087,-37.720
-0.420,-0.837,0.617,-51.819,-38.757,32.104
-0.495,-0.825,0.318,-33.264,-26.917,57.434
-0.421,-0.795,0.208,2.747,-21.179,88.318
-0.181,-0.743,0.142,3.967,-20.935,100.891
-0.117,-0.716,0.140,-23.804,0.061,132.996
-0.145,-0.662,0.107,-37.476,20.569,150.269
-0.199,-0.630,0.069,-47.974,42.725,166.809
-0.261,-0.590,0.014,-71.655,75.256,195.862
-0.421,-0.489,-0.065,-78.369,81.909,204.407
-0.462,-0.412,-0.098,-22.522,82.947,190.491
-0.463,-0.262,-0.165,30.029,83.313,171.204
-0.449,-0.200,-0.187,119.629,97.412,125.549
-0.402,-0.101,-0.176,141.846,103.943,101.440
-0.417,-0.094,-0.134,147.644,103.455,76.660
-0.436,-0.131,-0.075,129.456,74.890,25.391
-0.417,-0.378,0.141,104.797,52.490,1.404
-0.349,-0.548,0.301,34.485,12.329,-30.090
-0.196,-0.842,0.655,14.526,-0.732,-39.246
-0.154,-0.975,0.794,10.864,-5.981,-49.377
-0.129,-1.142,0.945,3.174,4.822,-74.097
-0.047,-1.582,1.355,3.296,16.418,-83.984
-0.025,-1.760,1.531,30.457,49.011,-82.703
-0.053,-1.866,1.611,35.156,64.453,-76.233
-0.049,-1.831,1.576,28.015,56.458,-69.580
0.022,-1.621,1.673,25.879,32.715,-63.538
0.071,-1.480,1.814,20.935,6.775,-54.626
0.118,-1.356,1.962,-5.676,-15.076,-36.560
0.186,-1.150,2.078,-14.648,-4.639,-29.419
0.204,-1.102,2.025,61.279,32.532,-34.485
0.164,-1.250,1.814,129.822,40.161,-56.274
0.198,-1.332,1.696,165.649,29.785,-110.046
0.339,-1.312,1.566,149.292,24.902,-111.755
0.393,-1.210,1.587,133.240,21.851,-96.436
0.432,-1.076,1.649,99.243,27.893,-60.608
0.449,-0.827,1.676,73.181,42.236,-52.246
0.417,-0.743,1.598,24.658,87.952,-56.824
0.345,-0.722,1.327,22.400,111.084,-68.298
0.324,-0.764,1.171,28.748,129.578,-81.177
0.315,-0.812,1.027,27.283,145.996,-98.511
0.337,-0.888,0.790,26.367,144.531,-99.731
0.340,-0.896,0.691,22.095,130.310,-85.144
0.303,-0.841,0.563,3.296,121.033,-73.792
0.297,-0.792,0.567,-23.071,112.610,-62.866
0.289,-0.735,0.602,-22.705,102.783,-51.147
0.230,-0.640,0.622,-7.324,101.318,-52.368
0.213,-0.619,0.614,-4.700,99.182,-57.190
0.242,-0.667,0.617,-2.869,95.642,-59.082
0.256,-0.699,0.620,-4.089,88.013,-64.209
0.274,-0.760,0.621,-19.165,86.609,-66.956
0.290,-0.801,0.631,-43.884,86.060,-68.359
0.306,-0.841,0.647,-90.820,84.656,-62.439
0.309,-0.896,0.669,-100.098,82.825,-55.847
0.307,-0.919,0.670,-98.816,75.867,-43.396
0.316,-0.942,0.710,-98.572,69.824,-37.964
0.318,-0.946,0.746,-90.942,63.782,-33.508
0.307,-0.946,0.765,-41.931,60.364,-28.076
1.143,-0.924,1.029,-57.190,46.082,47.485
1.221,-0.969,1.146,-68.970,79.224,48.767
1.395,-1.149,1.261,-84.778,99.915,47.424
1.496,-1.266,1.276,-98.877,119.812,50.598
1.582,-1.375,1.262,-85.999,146.362,81.665
1.628,-1.430,1.127,-71.899,149.841,105.957
1.612,-1.355,1.017,-65.125,147.156,166.016
1.516,-1.221,0.839,-70.740,145.386,195.740
1.478,-1.208,0.793,-68.787,142.639,232.605
1.421,-1.225,0.646,-68.054,143.494,246.277
1.377,-1.230,0.504,-71.106,146.118,261.108
1.331,-1.239,0.376,-59.021,145.630,292.358
1.216,-1.227,0.263,-48.401,137.634,311.523
1.106,-1.161,0.199,-52.124,115.295,358.276
0.832,-1.009,0.016,-58.899,103.760,377.258
0.718,-0.934,-0.023,-57.007,92.712,391.418
0.607,-0.833,-0.046,-23.865,79.224,410.400
0.458,-0.690,-0.185,-17.273,72.815,413.086
0.418,-0.664,-0.249,-32.471,57.373,410.767
0.273,-0.492,-0.347,-40.039,49.866,413.086
0.199,-0.372,-0.378,-52.185,41.870,415.832
0.062,-0.164,-0.408,-63.843,30.701,409.973
-0.001,-0.069,-0.447,-58.960,27.283,403.137
-0.037,0.022,-0.502,-57.861,13.916,386.597
-0.041,0.128,-0.562,-62.195,2.625,377.502
-0.033,0.125,-0.531,-76.233,-19.348,358.704
-0.028,0.062,-0.389,-87.585,-24.353,351.379
-0.042,0.029,-0.323,-96.619,-23.743,346.374
-0.071,0.021,-0.273,-97.107,-11.780,342.407
-0.163,0.085,-0.247,-92.834,-4.761,341.125
-0.224,0.118,-0.267,-104.431,1.953,334.656
-0.344,0.165,-0.337,-117.126,3.967,328.796
-0.385,0.165,-0.352,-142.639,12.817,313.538
-0.503,0.172,-0.357,-139.954,16.357,304.016
-0.562,0.196,-0.353,-131.348,18.738,293.213
-0.614,0.210,-0.345,-139.038,24.353,269.653
-0.709,0.182,-0.354,-143.494,28.809,258.057
-0.750,0.171,-0.392,-121.460,43.945,232.910
-0.846,0.229,-0.540,-102.173,52.002,220.642
-0.913,0.307,-0.615,-76.782,50.171,199.402
-1.026,0.516,-0.660,-71.167,38.940,189.087
-1.066,0.632,-0.623,-67.566,24.963,179.443
-1.111,0.723,-0.558,-61.523,6.226,160.706
-1.243,0.815,-0.454,-65.674,4.700,148.437
-1.298,0.859,-0.444,-82.031,15.686,113.342
-1.366,0.920,-0.498,-87.219,29.053,91.309
-1.405,0.906,-0.543,-97.717,46.204,66.589
-1.449,0.860,-0.583,-109.985,83.130,16.113
-1.548,0.746,-0.682,-101.624,102.051,-3.235
-1.596,0.703,-0.767,-98.938,131.042,-27.588
-1.685,0.622,-0.905,-106.934,137.024,-35.217
-1.740,0.610,-0.939,-126.953,146.667,-45.959
-1.971,0.627,-1.010,-134.399,157.776,-54.260
-2.119,0.657,-1.078,-133.789,171.692,-67.444
-2.240,0.715,-1.155,-114.868,192.810,-107.056
-2.491,0.782,-1.240,-109.741,198.608,-132.812
-2.700,0.739,-1.272,-118.225,212.158,-195.557
-3.217,0.575,-1.487,-130.127,217.773,-231.812
-3.497,0.484,-1.723,-142.273,214.416,-316.528
-3.995,0.372,-2.492,-133.606,198.242,-368.286
-4.000,0.319,-2.976,-116.394,163.574,-429.504
-4.000,0.279,-3.516,-60.852,12.390,-582.520
-3.992,-0.320,-4.000,-6.897,-113.831,-668.518
-3.994,-1.221,-4.000,329.895,-434.387,-880.371
-4.000,-2.797,-2.989,610.352,-563.599,-1051.147
-4.000,-3.573,-2.593,781.494,-666.443,-1488.708
-4.000,-4.000,-3.045,676.392,-694.580,-1636.352
-4.000,-4.000,-2.263,414.856,-895.325,-1449.280
-4.000,-3.978,1.167,303.223,-976.440,-1170.959
-4.000,-3.988,2.820,191.223,-954.407,-920.471
-3.588,-3.999,3.965,62.500,-668.335,-707.397
0.500,-4.000,4.000,195.801,-470.337,-592.834
1.658,-3.997,3.203,299.683,-68.359,-155.273
-0.466,-3.340,0.446,108.948,30.884,30.518
-1.647,-2.468,-0.105,-38.757,23.315,134.766
-2.057,-1.485,0.129,-12.512,-120.544,176.025
-1.473,-0.169,1.339,40.771,-155.457,161.865
-1.222,0.081,1.715,33.691,-147.095,121.887
-1.201,0.257,2.046,13.489,-128.845,94.666
-1.173,0.172,2.067,-16.113,-82.886,10.315
-0.818,-0.262,1.778,-41.504,-62.988,-30.396
-0.616,-0.492,1.517,-68.787,-46.936,-54.749
-0.473,-0.676,1.235,-89.722,-19.165,-46.692
-0.393,-0.873,0.800,-80.566,-9.949,-20.386
-0.425,-0.880,0.715,-46.326,-1.831,51.025
-0.416,-0.787,0.663,-35.034,4.089,83.008
-0.328,-0.733,0.602,-57.617,29.907,129.456
-0.113,-0.592,0.387,-90.210,44.373,148.865
-0.120,-0.454,0.349,-122.986,44.067,168.579
-0.221,-0.288,0.401,-108.032,6.531,189.331
-0.372,-0.083,0.474,-65.857,6.348,180.542
-0.355,-0.068,0.401,-15.930,49.866,143.005
-0.253,-0.121,0.201,-22.278,70.129,128.479
-0.211,-0.156,0.137,-60.791,94.727,124.817
-0.184,-0.224,0.062,-78.552,106.140,134.094
-0.219,-0.258,0.027,-91.553,118.896,147.827
-0.283,-0.280,-0.019,-81.177,147.949,173.340
-0.425,-0.277,-0.129,-53.284,164.795,179.932
-0.491,-0.237,-0.162,20.752,201.477,182.922
-0.570,-0.011,-0.169,65.857,219.299,176.453
-0.621,0.140,-0.164,122.498,236.938,161.072
-0.684,0.281,-0.191,224.365,259.888,106.812
-0.757,0.495,-0.293,229.980,251.831,65.247
-0.759,0.504,-0.336,165.466,185.364,-59.998
-0.524,0.085,-0.286,119.812,133.240,-129.272
-0.298,-0.413,-0.088,-0.061,23.254,-212.708
0.289,-1.572,0.657,-58.044,-19.409,-216.492
0.468,-1.914,1.049,-106.140,-41.443,-202.332
0.575,-2.124,1.368,-188.171,-29.968,-192.688
0.956,-2.287,2.075,-189.697,-26.611,-208.618
1.156,-2.131,2.438,-47.852,-9.705,-208.435
1.250,-1.499,2.637,30.945,13.672,-194.641
1.222,-1.330,2.533,87.158,38.330,-186.462
1.326,-1.463,2.339,77.087,34.180,-179.749
1.392,-1.493,2.289,50.659,29.419,-162.781
1.406,-1.421,2.225,0.061,47.363,-125.366
1.325,-1.208,1.951,3.235,66.406,-114.014
1.268,-1.124,1.748,73.608,94.971,-89.844
1.140,-0.966,1.317,97.168,96.252,-66.956
1.060,-0.835,1.178,100.525,80.566,-37.598
0.953,-0.675,1.126,112.183,20.752,-1.221
0.730,-0.400,1.147,139.832,-3.357,-10.803
0.668,-0.340,1.131,191.711,-12.756,-57.556
0.599,-0.367,1.002,201.843,-0.549,-73.425
0.569,-0.422,0.919,185.852,33.630,-78.064
0.491,-0.512,0.729,155.151,42.236,-76.477
0.437,-0.522,0.637,114.990,42.053,-76.782
0.386,-0.530,0.564,50.049,28.809,-81.177
0.327,-0.579,0.504,30.457,22.278,-84.473
0.319,-0.625,0.508,-9.949,17.456,-91.614
0.314,-0.692,0.577,-26.855,20.508,-94.299
0.312,-0.710,0.587,-29.236,28.076,-96.130
0.312,-0.730,0.563,-15.625,43.884,-100.464
0.350,-0.844,0.515,-27.100,46.082,-103.271
0.394,-0.925,0.516,-65.063,40.100,-100.464
0.470,-1.051,0.538,-70.007,34.851,-91.797
0.489,-1.085,0.571,-65.674,29.480,-74.524
0.510,-1.134,0.636,-62.378,30.945,-70.557
0.522,-1.144,0.674,-61.829,34.790,-67.871
0.533,-1.147,0.702,-58.899,48.889,-61.951
0.541,-1.123,0.721,-50.964,57.983,-58.044
0.533,-1.099,0.683,-9.094,76.904,-47.791
0.462,-1.004,0.562,-0.977,84.167,-41.748
0.415,-0.947,0.528,-4.150,89.355,-37.170
0.371,-0.906,0.487,6.714,96.191,-33.997
0.300,-0.865,0.367,11.353,94.055,-32.471
0.285,-0.861,0.345,-11.475,76.111,-26.245
0.304,-0.889,0.362,-18.982,66.162,-22.522
0.326,-0.910,0.374,-30.884,49.438,-15.259
0.372,-0.930,0.459,-37.598,44.556,-12.390
0.991,-1.305,0.593,-18.372,80.811,-2.686
1.061,-1.412,0.598,-21.667,99.670,4.761
1.156,-1.593,0.541,-27.222,101.196,15.015
1.196,-1.678,0.515,-28.748,95.642,40.649
1.263,-1.860,0.496,-29.053,94.604,54.871
