aX,aY,aZ,gX,gY,gZ
0.306,-0.045,0.195,-70.557,-19.714,104.492
0.284,0.042,0.215,-64.575,-5.554,71.045
0.260,0.146,0.241,-57.739,1.282,54.687
0.250,0.181,0.245,-39.612,10.376,29.114
0.176,0.312,0.273,-35.828,14.038,17.029
0.119,0.396,0.296,-33.569,19.714,0.061
0.059,0.459,0.303,-12.146,41.626,-61.279
-0.038,0.401,0.227,6.104,55.603,-105.164
-0.066,0.224,0.165,41.504,78.735,-199.158
-0.046,-0.413,0.066,55.176,84.900,-238.098
0.018,-0.895,0.004,65.125,86.182,-266.846
0.157,-1.522,-0.091,87.097,63.965,-281.433
0.695,-2.841,-0.252,86.304,40.039,-257.812
0.954,-3.177,-0.167,22.888,-6.409,-133.423
1.034,-2.957,0.004,-11.719,-17.761,-47.729
0.875,-2.572,0.007,-45.044,3.479,77.271
0.571,-1.708,0.051,-49.988,20.996,100.281
0.520,-1.421,0.076,-44.922,26.855,106.018
0.514,-1.252,0.122,-20.752,4.944,107.605
0.510,-1.036,0.213,-17.456,-8.057,113.464
0.487,-0.919,0.218,-26.855,-19.470,122.192
0.408,-0.657,0.192,-32.776,-20.142,117.249
0.374,-0.526,0.184,-50.354,-16.541,92.651
0.344,-0.321,0.189,-56.702,-12.634,76.599
0.349,-0.259,0.193,-57.068,-7.690,59.631
0.357,-0.214,0.197,-41.077,1.892,28.381
0.354,-0.136,0.196,-30.029,5.066,15.015
0.340,-0.097,0.197,-16.113,7.324,-11.047
0.289,-0.008,0.226,-14.160,8.484,-25.452
0.257,0.025,0.238,-12.329,11.536,-41.260
0.229,0.027,0.224,5.676,22.461,-77.209
0.205,-0.117,0.116,21.484,27.283,-95.093
0.211,-0.251,0.047,56.763,30.334,-119.873
0.216,-0.554,-0.077,70.923,28.259,-126.770
0.220,-0.720,-0.111,74.829,18.127,-135.620
0.277,-1.094,-0.159,60.608,9.338,-138.611
0.331,-1.274,-0.145,32.166,-1.648,-139.648
0.392,-1.428,-0.101,-31.616,-15.198,-130.127
0.505,-1.650,-0.008,-41.321,-14.771,-116.943
0.542,-1.706,-0.013,2.014,-17.883,-71.045
