aX,aY,aZ,gX,gY,gZ
-0.479,0.782,-0.514,-51.270,-64.636,124.207
-0.313,0.873,-0.495,-42.969,-55.359,106.873
-0.208,0.838,-0.519,-20.935,-39.734,73.730
-0.006,0.727,-0.587,-16.357,-39.307,61.646
0.056,0.706,-0.542,-18.677,-45.715,53.955
0.096,0.709,-0.444,-23.621,-59.998,45.044
0.170,0.744,-0.285,-19.226,-60.852,38.940
0.222,0.744,-0.224,-5.554,-57.312,19.958
0.351,0.627,-0.046,-0.854,-54.749,9.216
0.431,0.523,0.052,4.211,-43.823,-8.728
0.626,0.287,0.136,4.761,-35.706,-13.794
0.714,0.207,0.146,3.967,-28.381,-14.771
0.766,0.185,0.171,7.690,-14.465,-5.737
0.779,0.245,0.187,13.062,-5.188,-0.977
0.766,0.298,0.139,20.447,13.062,0.061
0.756,0.375,-0.035,22.339,17.273,-2.808
0.751,0.404,-0.079,24.536,16.907,-6.287
0.750,0.422,-0.082,29.419,10.803,-15.686
0.789,0.354,-0.067,30.823,8.484,-21.118
0.811,0.318,-0.079,34.790,4.150,-28.503
0.862,0.222,-0.072,38.208,0.366,-30.823
0.889,0.176,-0.030,41.382,-3.967,-32.349
0.911,0.144,0.023,38.818,-9.155,-34.241
0.958,0.143,0.100,33.203,-8.728,-34.485
0.967,0.180,0.083,29.602,-2.991,-35.645
0.947,0.225,0.033,35.400,-0.916,-37.109
0.930,0.196,0.019,49.988,1.038,-43.457
0.950,0.069,-0.023,53.467,0.916,-48.218
1.010,-0.025,-0.021,52.795,-2.380,-51.514
1.069,-0.090,0.071,37.109,-18.494,-44.983
1.050,-0.071,0.434,34.363,-17.517,-39.673
1.018,-0.079,0.506,40.466,17.578,-34.302
1.000,-0.016,0.282,40.955,35.889,-29.785
1.016,0.011,0.114,39.063,43.579,-27.588
1.031,0.024,0.036,25.940,28.564,-26.306
1.021,-0.002,0.235,22.156,21.729,-26.001
1.009,-0.065,0.374,27.405,41.077,-24.231
1.042,-0.117,0.225,32.593,59.692,-19.836
1.061,-0.086,0.006,40.588,61.951,-9.155
1.042,-0.004,-0.119,38.208,41.931,-6.836
1.022,0.016,-0.021,32.776,20.386,-8.789
1.007,0.026,0.081,31.128,3.235,-19.592
1.018,-0.009,0.146,35.522,5.432,-24.292
1.030,-0.049,0.137,40.588,10.437,-26.794
1.040,-0.121,0.065,38.330,9.827,-25.269
1.035,-0.144,0.040,32.471,6.836,-22.705
1.029,-0.150,0.031,23.682,2.563,-17.029
1.049,-0.092,-0.027,25.818,2.991,-15.930
1.064,-0.074,-0.045,32.532,-4.333,-17.090
1.051,-0.099,0.063,34.607,-8.911,-17.883
1.030,-0.102,0.107,34.485,-9.460,-18.555
0.990,-0.051,0.079,32.166,-7.935,-19.348
1.001,-0.007,0.019,30.701,-7.629,-21.240
1.033,0.009,-0.009,29.297,-19.653,-27.466
1.078,-0.107,0.148,26.978,-28.870,-29.114
1.078,-0.175,0.258,20.630,-34.119,-24.170
1.045,-0.186,0.354,18.738,-28.259,-19.470
1.036,-0.125,0.299,18.738,-10.681,-12.451
1.050,-0.006,0.129,18.921,-7.874,-11.658
1.053,0.004,0.111,18.311,-10.559,-12.878
1.049,-0.024,0.148,16.663,-18.921,-18.005
1.031,-0.094,0.244,17.883,-18.127,-18.860
1.029,-0.100,0.230,23.926,-9.460,-14.343
1.049,-0.052,0.131,24.719,-8.545,-11.108
1.051,-0.040,0.140,22.095,-12.024,-9.399
1.043,-0.038,0.199,15.991,-19.958,-8.911
1.032,-0.053,0.288,16.846,-19.104,-9.399
1.029,-0.064,0.283,21.973,-12.024,-8.972
1.026,-0.061,0.225,24.780,-8.728,-8.240
1.025,-0.056,0.197,27.527,-6.348,-7.385
1.022,-0.066,0.150,26.611,-7.812,-7.568
1.023,-0.093,0.141,23.560,-11.536,-8.057
1.021,-0.116,0.164,14.587,-21.606,-6.958
