aX,aY,aZ,gX,gY,gZ
1.066,-2.143,-0.237,-226.257,261.230,-130.676
1.085,-2.058,-0.326,-208.618,198.608,-65.369
1.036,-1.640,-0.395,-204.712,166.809,-38.452
0.989,-1.475,-0.399,-192.566,151.428,-23.682
0.931,-1.352,-0.481,-180.786,161.743,-28.137
0.918,-1.352,-0.566,-170.532,170.776,-30.396
0.898,-1.353,-0.640,-161.682,159.180,-14.038
0.833,-1.261,-0.681,-157.959,141.541,1.770
0.787,-1.151,-0.661,-142.761,111.694,31.555
0.662,-0.871,-0.620,-131.775,105.225,40.161
0.609,-0.737,-0.615,-106.506,101.868,40.588
0.551,-0.564,-0.621,-98.633,100.403,35.828
0.538,-0.521,-0.618,-94.177,97.717,30.945
0.526,-0.485,-0.607,-85.693,90.149,25.635
0.497,-0.425,-0.547,-80.750,86.731,24.536
0.478,-0.403,-0.504,-68.176,86.426,18.311
0.443,-0.366,-0.425,-54.871,89.600,12.817
0.437,-0.357,-0.396,-41.870,93.933,7.446
0.442,-0.360,-0.378,-42.480,95.215,-0.549
0.525,-0.417,-0.331,-51.636,87.524,-2.930
0.614,-0.496,-0.274,-82.886,64.636,-3.235
0.865,-0.785,-0.118,-106.506,54.504,-1.404
1.006,-0.945,-0.031,-129.822,45.715,8.240
1.228,-1.148,0.110,-122.253,50.232,17.639
1.280,-1.162,0.128,-107.483,56.580,30.640
1.292,-1.123,0.126,-95.093,59.814,61.096
1.242,-0.970,0.096,-95.398,57.434,73.975
1.199,-0.882,0.077,-97.534,49.072,92.712
1.106,-0.707,0.044,-99.792,44.983,98.267
1.054,-0.615,0.022,-96.375,38.391,101.440
0.944,-0.420,-0.022,-90.271,36.316,98.938
0.898,-0.347,-0.044,-84.900,36.011,93.140
0.861,-0.301,-0.069,-83.069,38.818,76.294
0.819,-0.284,-0.139,-85.205,40.161,68.298
0.811,-0.303,-0.187,-93.079,37.476,56.824
0.798,-0.328,-0.255,-96.252,33.203,53.162
0.786,-0.324,-0.275,-95.520,30.151,49.744
0.766,-0.309,-0.292,-82.031,31.982,39.368
0.726,-0.272,-0.332,-73.242,35.278,33.081
0.712,-0.263,-0.356,-58.289,40.710,22.156
0.707,-0.283,-0.388,-54.321,41.809,18.066
0.715,-0.303,-0.411,-49.622,35.828,14.221
0.746,-0.328,-0.430,-50.293,27.039,14.404
0.771,-0.340,-0.399,-48.096,17.700,14.465
