aX,aY,aZ,gX,gY,gZ
-3.828,-1.199,2.953,-9.338,-967.468,-128.662
-3.318,-1.016,2.764,-83.069,-700.928,-94.482
-1.945,-0.892,2.158,-79.651,-584.595,-88.623
-1.456,-0.855,1.816,-64.209,-406.250,-70.374
-0.871,-0.931,1.093,-92.712,-338.501,-54.199
-0.717,-1.003,0.733,-124.939,-281.006,-33.386
-0.641,-1.041,0.439,-142.151,-187.256,12.024
-0.682,-1.022,0.130,-130.005,-148.682,29.541
-0.739,-0.972,0.063,-76.660,-99.854,46.936
-0.739,-0.788,0.163,-51.331,-93.872,47.791
-0.661,-0.697,0.332,-25.940,-92.224,37.598
-0.461,-0.628,0.614,-19.470,-83.557,29.968
-0.382,-0.652,0.637,-20.264,-70.313,23.071
-0.324,-0.719,0.569,-65.674,-52.124,19.775
-0.271,-0.884,0.339,-106.384,-54.260,27.405
-0.242,-0.939,0.290,-157.898,-75.012,48.584
-0.183,-0.988,0.377,-148.865,-82.336,56.641
-0.159,-0.989,0.446,-91.797,-71.899,62.683
-0.105,-0.911,0.574,-66.223,-59.326,63.721
-0.093,-0.850,0.619,-52.795,-45.593,65.552
-0.099,-0.805,0.653,-65.857,-27.222,67.688
-0.127,-0.797,0.676,-63.843,-26.794,67.505
-0.125,-0.789,0.680,-28.931,-38.635,61.951
-0.035,-0.765,0.731,-19.104,-41.321,54.993
0.030,-0.772,0.763,-3.601,-25.757,46.326
0.105,-0.789,0.727,-5.859,-10.315,50.354
0.083,-0.780,0.666,-18.860,4.272,55.237
0.042,-0.760,0.592,-38.818,10.864,51.575
0.017,-0.715,0.555,-44.861,-1.038,44.617
0.047,-0.704,0.629,-52.734,-31.921,35.156
0.137,-0.687,0.835,-52.124,-37.415,35.583
0.164,-0.669,0.900,-48.035,-31.799,36.133
0.181,-0.661,0.900,-22.766,0.793,27.039
0.204,-0.708,0.761,-18.433,16.418,18.799
0.216,-0.738,0.681,-19.592,26.245,14.893
0.205,-0.743,0.585,-10.315,20.325,21.729
0.203,-0.731,0.586,3.540,0.427,30.701
0.244,-0.727,0.637,2.319,-5.249,28.503
0.260,-0.728,0.661,-0.671,-5.127,25.879
0.262,-0.723,0.675,7.996,5.737,26.367
0.242,-0.694,0.666,12.512,10.620,27.527
0.241,-0.671,0.651,12.512,13.000,26.672
0.249,-0.637,0.632,14.465,11.597,24.963
0.259,-0.635,0.628,16.846,9.583,22.644
0.276,-0.643,0.626,13.733,8.362,18.005
0.308,-0.672,0.617,12.207,9.827,17.395
0.309,-0.669,0.606,11.719,11.719,19.470
0.293,-0.642,0.616,6.653,9.888,19.531
0.304,-0.639,0.637,1.282,6.958,17.761
0.319,-0.644,0.656,-5.127,3.784,14.038
0.313,-0.655,0.668,-5.859,4.639,12.634
0.314,-0.663,0.670,2.502,10.315,7.568
0.357,-0.664,0.646,10.132,15.503,4.578
0.375,-0.656,0.613,13.245,20.996,2.380
0.389,-0.651,0.580,1.709,24.536,0.916
0.413,-0.651,0.547,-3.601,21.667,2.014
0.421,-0.649,0.546,-15.991,9.705,4.395
0.444,-0.631,0.588,-20.386,1.892,5.066
0.449,-0.624,0.628,-21.606,-4.517,5.493
0.456,-0.618,0.664,-22.827,-7.935,5.249
0.461,-0.624,0.714,-20.142,-6.409,4.028
0.465,-0.641,0.731,-26.917,-2.258,1.160
0.457,-0.659,0.740,-34.119,0.427,2.747
0.432,-0.647,0.714,-38.879,7.324,15.198
0.433,-0.590,0.621,-48.340,7.996,23.560
0.508,-0.614,0.615,-59.448,4.272,25.085
0.521,-0.687,0.663,-17.700,-2.625,-23.193
0.496,-0.812,0.687,23.682,3.967,-45.044
0.507,-0.841,0.648,80.688,20.386,-17.273
0.460,-0.801,0.603,94.849,22.339,6.348
0.423,-0.749,0.575,108.398,21.118,19.714
0.386,-0.709,0.549,111.267,13.428,23.254
0.371,-0.737,0.514,102.234,12.451,18.738
0.395,-0.782,0.486,99.182,22.217,7.385
0.436,-0.833,0.386,103.821,29.236,3.418
0.432,-0.838,0.323,90.149,35.095,-0.427
0.425,-0.878,0.250,62.317,30.029,0.305
0.439,-0.927,0.257,31.860,19.836,2.869
0.468,-0.976,0.288,5.127,-3.479,12.573
0.519,-1.006,0.365,5.920,-9.033,19.104
0.533,-0.973,0.402,14.221,-3.967,30.396
0.518,-0.856,0.434,27.222,3.235,34.607
0.494,-0.802,0.422,43.640,9.705,37.415
0.485,-0.766,0.401,51.453,10.742,36.743
0.490,-0.722,0.393,43.579,5.188,36.133
0.487,-0.713,0.413,30.273,-7.141,34.485
0.506,-0.733,0.488,22.705,-9.521,31.494
0.528,-0.746,0.526,14.526,-7.812,27.954
0.541,-0.744,0.547,8.728,5.798,24.353
0.527,-0.701,0.528,12.207,13.733,23.621
0.521,-0.686,0.494,23.254,20.996,20.386
0.537,-0.683,0.439,23.987,18.188,19.348
0.545,-0.683,0.439,20.142,12.390,19.409
0.551,-0.679,0.466,9.338,0.671,20.020
0.557,-0.653,0.548,11.475,-0.977,19.043
0.552,-0.642,0.568,24.719,5.920,13.489
0.548,-0.648,0.560,27.954,11.047,9.033
0.554,-0.661,0.540,28.503,15.381,5.127
0.560,-0.674,0.510,26.245,22.400,1.282
0.566,-0.694,0.440,26.550,24.719,0.305
0.566,-0.705,0.405,29.541,24.475,-0.671
0.567,-0.705,0.363,27.100,21.362,-0.793
0.566,-0.696,0.362,24.780,16.907,-0.732
0.564,-0.689,0.368,25.879,9.033,-0.427
0.563,-0.691,0.387,20.569,6.775,-0.793
0.565,-0.702,0.396,3.662,7.019,-2.686
0.579,-0.717,0.401,1.221,9.399,-3.662
0.586,-0.712,0.389,6.348,15.381,-5.554
0.586,-0.710,0.350,5.310,17.334,-7.080
0.591,-0.724,0.338,0.610,18.372,-9.033
0.598,-0.741,0.333,-5.920,19.043,-11.353
0.600,-0.764,0.322,-4.333,18.066,-10.864
0.595,-0.764,0.325,-9.399,12.634,-7.324
0.602,-0.759,0.362,-14.954,11.353,-6.104
0.608,-0.753,0.380,-17.151,13.550,-6.165
0.609,-0.747,0.385,-6.165,28.381,-9.888
0.599,-0.755,0.346,1.953,36.926,-12.085
0.592,-0.768,0.313,-1.221,42.786,-13.245
0.591,-0.799,0.280,-12.573,39.734,-12.268
0.596,-0.813,0.281,-26.123,32.349,-9.949
0.611,-0.811,0.284,-23.315,31.006,-9.033
0.612,-0.796,0.284,-18.555,31.189,-8.484
0.606,-0.779,0.285,-13.672,33.569,-8.606
0.596,-0.765,0.297,-13.367,34.424,-9.033
0.596,-0.767,0.304,-12.390,34.363,-8.545
0.597,-0.762,0.285,-15.747,32.532,-7.263
0.595,-0.751,0.281,-22.827,29.541,-5.859
0.595,-0.748,0.278,-29.053,26.428,-7.080
0.597,-0.758,0.262,-27.649,26.672,-8.972
0.595,-0.762,0.254,-23.071,25.574,-11.353
0.592,-0.762,0.254,-24.353,23.499,-11.353
0.594,-0.759,0.258,-29.114,17.456,-10.681
0.605,-0.776,0.264,-27.527,14.587,-10.437
0.610,-0.786,0.274,-26.794,12.695,-9.827
-0.869,-1.144,-1.195,-43.091,153.931,-107.666
-0.988,-1.255,-1.304,-79.956,99.731,-93.872
-1.248,-1.401,-1.413,-85.754,63.660,-83.374
-1.350,-1.502,-1.445,-76.843,-17.761,-67.322
-1.560,-1.736,-1.516,-71.594,-63.293,-55.420
-1.699,-1.843,-1.521,-61.829,-110.352,-41.443
-1.812,-1.943,-1.493,-25.818,-207.642,-28.076
-1.807,-2.177,-1.527,3.906,-262.207,-25.085
-1.710,-2.350,-1.464,67.261,-391.968,4.028
-1.748,-2.632,-0.769,107.483,-458.008,34.180
-1.938,-2.586,-0.295,233.398,-574.951,92.651
-2.279,-2.244,0.543,275.452,-622.314,102.112
-2.325,-2.121,0.833,286.560,-658.081,95.032
-2.244,-2.051,1.107,266.296,-681.213,58.472
-1.904,-1.879,1.559,237.183,-665.588,51.758
-1.779,-1.723,1.647,140.259,-616.699,71.167
-1.532,-1.460,1.568,95.215,-586.731,80.750
-1.397,-1.389,1.386,41.931,-505.676,87.036
-1.149,-1.333,0.834,23.682,-465.820,89.539
-1.090,-1.327,0.630,4.700,-438.293,97.473
-1.056,-1.311,0.512,-19.653,-426.086,127.014
-1.000,-1.244,0.499,-31.067,-430.542,143.982
-0.973,-1.162,0.577,-28.442,-430.054,166.748
-0.865,-1.012,0.713,-9.827,-415.161,165.771
-0.806,-1.029,0.710,14.954,-367.737,151.062
-0.772,-1.036,0.795,19.287,-354.614,146.667
-0.727,-0.937,0.932,27.039,-352.173,143.433
-0.649,-0.811,1.087,26.794,-337.097,135.437
-0.477,-0.657,1.209,9.460,-306.580,130.737
-0.399,-0.637,1.116,-25.085,-215.332,119.934
-0.329,-0.685,0.800,-24.109,-175.171,113.098
-0.305,-0.706,0.670,-16.846,-138.916,105.103
-0.232,-0.702,0.523,-36.926,-140.686,100.037
-0.207,-0.664,0.580,-60.364,-155.945,99.243
-0.192,-0.600,0.742,-80.139,-183.655,115.112
-0.141,-0.505,1.081,-55.664,-173.523,114.868
-0.099,-0.488,1.121,6.714,-108.215,90.576
-0.026,-0.509,0.943,18.494,-71.960,76.721
0.002,-0.547,0.797,14.832,-33.203,65.002
0.061,-0.600,0.588,15.442,-39.307,66.772
0.091,-0.589,0.589,19.104,-60.059,71.106
0.108,-0.558,0.670,19.836,-106.262,77.942
0.127,-0.499,0.964,16.235,-111.450,75.745
0.144,-0.479,1.079,13.794,-74.341,63.660
0.149,-0.431,1.123,12.695,-43.274,57.556
0.145,-0.408,1.073,12.695,-13.916,51.086
0.147,-0.400,1.005,15.686,22.522,37.964
0.179,-0.420,0.869,17.273,29.541,32.471
0.217,-0.438,0.789,9.399,27.405,20.020
0.295,-0.486,0.698,-0.122,21.057,12.085
0.327,-0.510,0.695,-3.784,15.991,5.066
0.355,-0.518,0.703,6.409,18.066,1.404
0.391,-0.510,0.723,12.512,22.827,2.747
0.405,-0.513,0.724,22.278,26.611,2.808
0.426,-0.518,0.736,27.832,23.621,1.160
0.441,-0.518,0.759,32.532,19.836,-1.099
0.459,-0.526,0.777,33.325,21.118,-7.385
0.516,-0.569,0.739,31.921,25.696,-10.498
0.534,-0.587,0.705,28.320,30.457,-12.146
0.547,-0.627,0.654,26.367,27.466,-11.353
0.552,-0.646,0.661,23.682,14.771,-8.423
0.567,-0.681,0.705,22.766,11.536,-6.714
0.568,-0.695,0.720,19.714,12.634,-5.493
0.567,-0.709,0.721,15.259,25.879,-4.089
0.565,-0.740,0.664,11.047,34.241,-2.808
0.565,-0.744,0.620,-1.892,43.701,1.343
0.569,-0.723,0.540,-4.700,43.762,3.845
0.573,-0.710,0.520,-2.869,41.870,5.737
0.580,-0.706,0.510,7.935,37.659,7.629
0.577,-0.695,0.519,10.437,36.865,9.033
0.565,-0.674,0.529,15.625,37.109,12.817
0.553,-0.636,0.537,16.296,37.170,13.977
0.559,-0.625,0.537,10.742,36.682,14.282
0.569,-0.614,0.534,-9.216,34.912,12.939
0.583,-0.591,0.515,-15.259,34.729,11.658
0.582,-0.587,0.509,-17.883,35.400,7.080
0.598,-0.604,0.506,-15.808,35.583,4.333
0.610,-0.610,0.508,-13.123,35.278,2.441
0.621,-0.615,0.513,-11.169,32.654,2.625
0.630,-0.626,0.549,-13.184,31.189,4.089
0.635,-0.631,0.567,-18.372,33.508,5.554
0.631,-0.634,0.582,-18.555,37.292,5.005
0.627,-0.629,0.571,-9.766,45.654,2.380
0.625,-0.621,0.550,-9.338,48.340,1.038
0.626,-0.613,0.501,-14.832,49.744,0.244
0.624,-0.612,0.484,-35.400,47.058,1.099
0.623,-0.600,0.482,-38.757,43.152,1.892
0.623,-0.597,0.494,-33.508,36.743,1.770
0.620,-0.597,0.549,-36.255,36.865,0.977
0.622,-0.595,0.565,-39.185,40.039,-0.427
0.623,-0.589,0.561,-36.072,52.063,-5.371
0.639,-0.600,0.496,-32.837,57.739,-8.362
0.649,-0.615,0.441,-31.860,59.998,-9.827
0.663,-0.635,0.381,-36.499,53.894,-7.263
0.666,-0.628,0.393,-40.161,43.701,-3.601
0.663,-0.583,0.501,-38.025,25.696,1.404
0.658,-0.556,0.568,-34.912,25.208,0.305
0.654,-0.536,0.606,-24.780,41.870,-7.935
0.646,-0.510,0.553,-18.921,51.331,-12.634
0.644,-0.513,0.497,-13.733,58.655,-20.020
0.668,-0.563,0.420,-17.090,57.739,-21.545
0.688,-0.590,0.392,-22.705,54.993,-20.874
0.704,-0.602,0.369,-31.799,43.457,-14.709
0.722,-0.589,0.393,-32.288,35.767,-11.536
0.723,-0.576,0.442,-21.973,29.785,-8.789
0.705,-0.524,0.494,-12.878,33.142,-10.254
0.700,-0.501,0.477,1.099,42.358,-18.677
0.702,-0.508,0.425,-2.197,46.204,-23.132
0.705,-0.540,0.391,-5.920,49.255,-26.855
0.714,-0.584,0.348,-2.380,45.715,-27.710
0.738,-0.626,0.281,-2.319,36.133,-23.254
0.743,-0.610,0.282,-7.935,15.259,-12.085
0.732,-0.532,0.353,-6.958,11.658,-10.986
0.724,-0.501,0.399,-3.479,14.160,-14.709
0.723,-0.491,0.428,13.428,30.701,-30.090
0.722,-0.514,0.384,27.161,39.856,-36.560
0.724,-0.538,0.329,35.645,48.035,-41.260
0.743,-0.600,0.247,27.039,45.532,-40.161
0.752,-0.617,0.226,2.014,31.921,-33.203
0.749,-0.610,0.235,-6.348,24.475,-29.785
0.744,-0.602,0.255,-8.545,20.203,-28.137
0.737,-0.590,0.276,0.061,25.940,-29.297
0.718,-0.569,0.277,5.188,33.936,-31.738
0.724,-0.580,0.247,12.451,45.532,-35.828
0.731,-0.613,0.198,8.362,45.288,-35.278
0.736,-0.626,0.195,1.770,42.297,-33.813
0.743,-0.630,0.204,10.071,37.720,-31.006
0.750,-0.628,0.214,17.822,39.368,-31.067
0.747,-0.641,0.218,20.325,46.265,-33.630
0.761,-0.705,0.183,18.311,47.852,-33.203
0.769,-0.722,0.156,9.399,41.016,-25.635
0.784,-0.732,0.123,2.380,36.255,-21.729
0.792,-0.735,0.124,-4.333,32.715,-19.104
0.794,-0.730,0.128,-4.456,30.396,-16.541
0.789,-0.719,0.123,0.427,30.212,-15.808
0.786,-0.719,0.122,1.648,26.917,-13.306
0.781,-0.712,0.124,-2.441,23.376,-11.353
0.779,-0.706,0.135,-5.981,19.470,-9.399
0.780,-0.703,0.153,-6.775,16.113,-7.202
0.779,-0.692,0.174,-5.371,17.212,-6.714
0.774,-0.684,0.175,-7.996,19.714,-6.409
0.764,-0.682,0.179,-10.986,20.386,-6.348
0.762,-0.688,0.175,-11.597,21.729,-6.104
0.758,-0.699,0.149,-12.268,21.545,-5.554
0.755,-0.702,0.142,-15.320,20.203,-4.578
0.752,-0.701,0.144,-19.348,16.296,-2.441
0.742,-0.696,0.148,-15.747,15.503,-2.136
0.737,-0.699,0.148,-9.644,17.456,-3.662
0.734,-0.719,0.154,-9.888,19.226,-4.395
0.731,-0.728,0.153,-11.536,21.912,-4.089
-1.135,-1.165,-0.994,-43.762,161.316,-114.929
-1.405,-1.258,-1.246,-20.447,141.052,-127.075
-1.863,-1.577,-1.805,-9.277,105.957,-130.249
-2.027,-1.759,-2.030,3.235,-11.475,-123.108
-2.337,-2.063,-2.186,5.249,-83.557,-116.760
-2.490,-2.222,-2.129,13.672,-158.691,-113.464
-2.614,-2.404,-2.016,60.120,-323.242,-111.145
-2.778,-2.839,-1.634,83.679,-411.072,-105.896
-2.880,-3.065,-1.414,126.892,-585.999,-76.965
-3.104,-3.393,-0.861,160.034,-674.255,-56.152
-3.332,-3.551,-0.443,233.765,-840.332,-6.165
-3.946,-3.891,0.682,245.422,-909.729,29.785
-4.000,-3.996,1.404,244.568,-965.027,75.928
-4.000,-3.613,2.498,264.771,-1020.508,181.641
-3.959,-2.950,2.796,244.385,-1025.574,231.140
-3.767,-2.103,3.038,61.462,-969.788,295.044
-2.850,-0.894,3.115,-33.203,-887.451,288.086
-2.347,-0.801,2.896,-73.608,-649.963,226.379
-1.646,-0.841,2.173,-52.063,-525.330,204.163
-1.431,-0.794,1.865,-32.837,-413.086,190.124
-1.110,-0.730,1.442,18.982,-235.962,165.466
-0.993,-0.723,1.307,50.293,-174.255,153.442
-0.890,-0.729,1.206,99.304,-114.929,137.756
-0.714,-0.709,1.057,105.652,-112.122,136.902
-0.651,-0.681,0.990,72.998,-132.507,141.724
-0.536,-0.668,0.857,44.922,-145.569,140.625
-0.489,-0.678,0.822,20.569,-155.579,136.902
-0.441,-0.675,0.832,-10.315,-163.452,132.080
-0.369,-0.578,1.010,-28.931,-158.936,133.911
-0.338,-0.486,1.130,-53.528,-123.840,135.742
-0.256,-0.339,1.235,-42.175,-95.093,130.493
-0.193,-0.328,1.171,-8.728,-36.438,107.971
-0.056,-0.357,0.892,-9.583,-19.836,95.703
0.004,-0.346,0.746,-22.400,-16.296,85.449
0.056,-0.326,0.652,-41.931,-34.363,69.397
0.160,-0.351,0.643,-30.823,-42.114,61.707
0.210,-0.386,0.688,3.418,-42.542,50.903
